Address;RegName;Clk;Rst;Port ;NonReg; Public ; Signal;BitPos;Default;SW(R/W);HW(W);MCU(W);MISC;Description;Enum_Name;Enum_Value;Min_Value;Max_Value;RegName_Chg_0;RepeatName;RepeatNum;GroupName;CSV_Version
0x0000;I2C_SCL_LOW_PERIOD_REG;pclk;reset_n;;;;;;;;;;;"Configures the low level width of the SCL
Clock";;;;;;;;Timing registers;1.1
;;;;;;;;[31:9];23'b0;RO;;;;Reserved;;;;;;;;;
;;;;;;;reg_scl_low_period;[8:0];9'b0;R/W;;;;This register is used to configure for how long SCL remains low in master mode, in I2C module clock cycles. ;;;;;I2C_SCL_LOW_PERIOD;;;;
0x0004;I2C_CTR_REG;pclk;reset_n;;;;;;;;;;;Transmission setting;;;;;;;;Configuration registers;
;;;;;;;;[31:13];19'b0;RO;;;;Reserved;;;;;;;;;
;;;;;;;reg_slv_tx_auto_start_en;[12];1'b0;R/W;;;;This is the enable bit for slave to send data automatically.;;;;;I2C_SLV_TX_AUTO_START_EN;;;;
;;;;;;;reg_conf_upgate;[11];1'b0;WT;;;;synchronization bit;;;;;I2C_CONF_UPGATE;;;;
;;;;;;;reg_fsm_rst;[10];1'b0;WT;;;;This register is used to reset the SCL FSM.;;;;;I2C_FSM_RST;;;;
;;;;;;;reg_arbitration_en;[9];1'b1;R/W;;;;This is the enable bit for arbitration_lost.;;;;;I2C_ARBITRATION_EN;;;;
;;;;Not;;;reg_clk_en;[8];1'b0;R/W;;;;Reserved;;;;;I2C_CLK_EN;;;;
;;;;;;;reg_rx_lsb_first;[7];1'h0;R/W;;;;"This bit is used to control the storage mode for received data.
1: receive data from the least significant bit;
0: receive data from the most significant bit.";;;;;I2C_RX_LSB_FIRST;;;;
;;;;;;;reg_tx_lsb_first;[6];1'b0;R/W;;;;"This bit is used to control the sending mode for data needing to be sent. 
1: send data from the least significant bit;
0: send data from the most significant bit.";;;;;I2C_TX_LSB_FIRST;;;;
;;;;;;;reg_trans_start;[5];1'b0;WT;;;;Set this bit to start sending the data in TX FIFO. ;;;;;I2C_TRANS_START;;;;
;;;;;;;reg_ms_mode;[4];1'b0;R/W;;;;"Set this bit to configure the module as an I2C Master. Clear this bit to configure the
module as an I2C Slave. ";;;;;I2C_MS_MODE;;;;
;;;;;;;reg_rx_full_ack_level;[3];1'b1;R/W;;;;This register is used to configure the ACK value that need to sent by master when the rx_fifo_cnt has reached the threshold.;;;;;I2C_RX_FULL_ACK_LEVEL;;;;
;;;;;;;reg_sample_scl_level;[2];1'b0;R/W;;;;"This register is used to select the sample mode.
1: sample SDA data on the SCL low level.
0: sample SDA data on the SCL high level.";;;;;I2C_SAMPLE_SCL_LEVEL;;;;
;;;;;;;reg_scl_force_out;[1];1'b1;R/W;;;;"0: direct output; 1: open drain output.";;;;;I2C_SCL_FORCE_OUT;;;;
;;;;;;;reg_sda_force_out;[0];1'b1;R/W;;;;"0: direct output; 1: open drain output.";;;;;I2C_SDA_FORCE_OUT;;;;
0x0008;I2C_SR_REG;pclk;reset_n;;;;;;;;;;;Describe I2C work status.;;;;;;;;Status registers;
;;;;;;;;[31];1'b0;RO;;;;Reserved;;;;;;;;;
;;;;;;;reg_scl_state_last;[30:28];3'b0;RO;;;;"This field indicates the states of the state machine used to produce SCL.
0: Idle; 1: Start; 2: Negative edge; 3: Low; 4: Positive edge; 5: High; 6: Stop";;;;;I2C_SCL_STATE_LAST;;;;
;;;;;;;;[27];1'b0;RO;;;;Reserved;;;;;;;;;
;;;;;;;reg_scl_main_state_last;[26:24];3'b0;RO;;;;"This field indicates the states of the I2C module state machine. 
0: Idle; 1: Address shift; 2: ACK address; 3: Rx data; 4: Tx data; 5: Send ACK; 6: Wait ACK";;;;;I2C_SCL_MAIN_STATE_LAST;;;;
;;;;;;;reg_txfifo_cnt;[23:18];6'b0;RO;;;;This field stores the amount of received data in RAM. ;;;;;I2C_TXFIFO_CNT;;;;
;;;;;;;;[17:16];2'b0;RO;;;;Reserved;;;;;;;;;
;;;;;;;reg_stretch_cause;[15:14];2'h3;RO;;;;The cause of stretching SCL low in slave mode. 0:  stretching SCL low at the beginning of I2C read data state. 1: stretching SCL low when I2C Tx FIFO is empty in slave mode. 2: stretching SCL low when I2C Rx FIFO is full in slave mode.;;;;;I2C_STRETCH_CAUSE;;;;
;;;;;;;reg_rxfifo_cnt;[13:8];6'b0;RO;;;;This field represents the amount of data needed to be sent. ;;;;;I2C_RXFIFO_CNT;;;;
;;;;;;;;[7];1'b0;RO;;;;Reserved;;;;;;;;;
;;;;;;;;[6];1'b0;RO;;;;Reserved;;;;;;;;;
;;;;;;;reg_slave_addressed;[5];1'b0;RO;;;;"When configured as an I2C Slave, and the address sent by the master is
equal to the address of the slave, then this bit will be of high level.";;;;;I2C_SLAVE_ADDRESSED;;;;
;;;;;;;reg_bus_busy;[4];1'b0;RO;;;;"1: the I2C bus is busy transferring data; 0: the I2C bus is in idle state. ";;;;;I2C_BUS_BUSY;;;;
;;;;;;;reg_arb_lost;[3];1'b0;RO;;;;When the I2C controller loses control of SCL line, this register changes to 1.;;;;;I2C_ARB_LOST;;;;
;;;;;;;;[2];1'b0;RO;;;;Reserved;;;;;;;;;
;;;;;;;reg_slave_rw;[1];1'b0;RO;;;;"When in slave mode, 1: master reads from slave; 0: master writes to slave.";;;;;I2C_SLAVE_RW;;;;
;;;;;;;reg_resp_rec;[0];1'b0;RO;;;;The received ACK value in master mode or slave mode. 0: ACK, 1: NACK.;;;;;I2C_RESP_REC;;;;
0x000c;I2C_TO_REG;pclk;reset_n;;;;;;;;;;;Setting timeout control for receiving data.;;;;;;;;Configuration registers;
