Address;RegName;Clk;Rst;Port;NonReg;Public;Signal;BitPos;Default;SW(R/W);HW(W);MCU(W);MISC;Description;Enum_Name;Enum_Value;Min_Value;Max_Value;RegName_Chg_0;RepeatName;RepeatNum;GroupName;CSV_Version
0x0000;I2C_SCL_LOW_PERIOD_REG;pclk;reset_n;;;;;;;;;;;配置 SCL 的低电平宽度;;;;;;;;时序寄存器;1.1
;;;;;;;;[31:14];18'h0;只读;;;;保留;;;;;;;;;
;;;;;;;reg_scl_low_period;[13:0];14'h0;读/写;;;;用于配置 SCL 低电平的保持时间，以 I2C 模块时钟周期数为单位。;;;;;I2C_SCL_LOW_PERIOD;;;;
0x0004;I2C_CTR_REG;pclk;reset_n;;;;;;;;;;;传输设置;;;;;;;;配置寄存器;
;;;;;;;;[31:12];20'h0;只读;;;;保留;;;;;;;;;
;;;;;;;reg_ref_always_on;[11];1'h1;读/写;;;;用于控制 REF_TICK。;;;;;I2C_REF_ALWAYS_ON;;;;
;;;;;;;reg_fsm_rst;[10];1'h0;读/写;fsm_rst_pos/1'h0;;;用于复位 SCL_FSM。;;;;;I2C_FSM_RST;;;;
;;;;;;;reg_arbitration_en;[9];1'h1;读/写;;;;I2C 总线仲裁的使能位。;;;;;I2C_ARBITRATION_EN;;;;
;;;;Not;;;reg_clk_en;[8];1'h0;读/写;;;;保留;;;;;I2C_CLK_EN;;;;
;;;;;;;reg_rx_lsb_first;[7];1'h0;读/写;;;;"用于控制接收数据的存储模式。

1： 从最低有效位开始接收数据；

0： 从最高有效位开始接收数据。";;;;;I2C_RX_LSB_FIRST;;;
;;;;;;;reg_tx_lsb_first;[6];1'h0;读/写;;;;"用于控制待发送数据的发送模式。

1： 从最低有效位开始发送数据；

0： 从最高有效位开始发送数据。";;;;;I2C_TX_LSB_FIRST;;;
;;;;;;;reg_trans_start;[5];1'h0;读/写;trans_start_pos/1'h0;;;置位此位，开始发送 TX FIFO 中的数据。;;;;;I2C_TRANS_START;;;;
;;;;;;;reg_ms_mode;[4];1'h0;读/写;;;;"置位此位，将模块配置为 I2C 主机。 清零此位，将模块配置为 I2C 从机。

";;;;;I2C_MS_MODE;;;
;;;;;;;reg_rx_full_ack_level;[3];1'h1;读/写;;;;用于配置主机在 rx_fifo_cnt 达到阈值时需发送的 ACK 电平值。;;;;;I2C_RX_FULL_ACK_LEVEL;;;;
;;;;;;;reg_sample_scl_level;[2];1'h0;读/写;;;;"用于选择采样模式。

1： SCL 为低电平时采样 SDA 数据。

0： SCL 为高电平时采样 SDA 数据。";;;;;I2C_SAMPLE_SCL_LEVEL;;;
;;;;;;;reg_scl_force_out;[1];1'h1;读/写;;;;0： 直接输出；1： 漏极开路输出。;;;;;I2C_SCL_FORCE_OUT;;;;
;;;;;;;reg_sda_force_out;[0];1'h1;读/写;;;;0： 直接输出；1： 漏极开路输出。;;;;;I2C_SDA_FORCE_OUT;;;;
0x0008;I2C_SR_REG;pclk;reset_n;;;;;;;;;;;描述 I2C 的工作状态;;;;;;;;状态寄存器;
;;;;;;;;[31];1'h0;只读;;;;保留;;;;;;;;;
;;;;;;;reg_scl_state_last;[30:28];3'h0;只读;;;;"该字段为生成 SCL 的状态机状态。

0： 空闲状态；1： 开始；2： 下降沿；3： 低电平；4： 上升沿；5： 高电平；6： 停止";;;;;I2C_SCL_STATE_LAST;;;
;;;;;;;;[27];1'h0;只读;;;;保留;;;;;;;;;
;;;;;;;reg_scl_main_state_last;[26:24];3'h0;只读;;;;"该字段为 I2C 模块状态机的状态。

0： 空闲；1： 地址转换；2： ACK 地址；3： 接收数据；4： 发送数据；5： 发送 ACK；6： 等待 ACK";;;;;I2C_SCL_MAIN_STATE_LAST;;;
;;;;;;;reg_txfifo_cnt;[23:18];6'h0;只读;;;;该字段存储 RAM 接收数据的字节数。;;;;;I2C_TXFIFO_CNT;;;;
;;;;;;;;[17:16];2'h0;只读;;;;保留;;;;;;;;;
;;;;;;;reg_stretch_cause;[15:14];2'h0;只读;;;;从机模式下延长 SCL 低电平时间的原因。 0：  I2C 开始读取数据时延长 SCL 的低电平时间。 1： 从机模式下 TX FIFO 为空时延长 SCL 的低电平时间。 2： 从机模式下 RX FIFO 为满时延长 SCL 的低电平时间。;;;;;I2C_STRETCH_CAUSE;;;;
;;;;;;;reg_rxfifo_cnt;[13:8];6'h0;只读;;;;该字段为需发送数据的字节数。;;;;;I2C_RXFIFO_CNT;;;;
;;;;;;;;[7];1'h0;只读;;;;保留;;;;;;;;;
;;;;;;;reg_byte_trans;[6];1'h0;只读;;;;传输一个字节后，该字段变为 1。;;;;;I2C_BYTE_TRANS;;;;
;;;;;;;reg_slave_addressed;[5];1'h0;只读;;;;"配置成 I2C 从机、且主机发送地址

与从机地址匹配时，该位翻转为高电平。";;;;;I2C_SLAVE_ADDRESSED;;;
;;;;;;;reg_bus_busy;[4];1'h0;只读;;;;1： I2C 总线正在传输数据；0： I2C 总线处于空闲状态。;;;;;I2C_BUS_BUSY;;;;
;;;;;;;reg_arb_lost;[3];1'h0;只读;;;;I2C 控制器不控制 SCL 线时，该寄存器变为 1 。;;;;;I2C_ARB_LOST;;;;
;;;;Not;;;reg_time_out;[2];1'h0;只读;;;;"I2C 控制器接收一位数据的时间超过 I2C_TIME_OUT 周期时，

该字段变为 1。";;;;;I2C_TIME_OUT;;;
;;;;;;;reg_slave_rw;[1];1'h0;只读;;;;从机模式下，1： 主机读取从机数据；0： 主机向从机写入数据。;;;;;I2C_SLAVE_RW;;;;
;;;;;;;reg_resp_rec;[0];1'h0;只读;;;;主机模式或从机模式下接收的 ACK 电平值。 0： ACK，1： NACK。;;;;;I2C_RESP_REC;;;;
